/home/yash/Desktop/Biorobotics_Lab/moving_mass_RL-master/scripts/ppo.py:251: UserWarning: To copy construct from a tensor, it is recommended to use sourceTensor.clone().detach() or sourceTensor.clone().detach().requires_grad_(True), rather than torch.tensor(sourceTensor).
  obs, act, adv, logp_old = torch.tensor(data['obs'],dtype=torch.float,device='cuda:0'),torch.tensor(data['act'],dtype=torch.float,device='cuda:0'), torch.tensor(data['adv'],dtype=torch.float,device='cuda:0'), torch.tensor(data['logp'],dtype=torch.float,device='cuda:0')
/home/yash/Desktop/Biorobotics_Lab/moving_mass_RL-master/scripts/ppo.py:271: UserWarning: To copy construct from a tensor, it is recommended to use sourceTensor.clone().detach() or sourceTensor.clone().detach().requires_grad_(True), rather than torch.tensor(sourceTensor).
  obs, ret = torch.tensor(data['obs'],dtype=torch.float,device='cuda:0'), torch.tensor(data['ret'],dtype=torch.float,device='cuda:0')
343 795.1849642827897 0.022 -1.155 -0.0 tensor(476.9895)
344 789.1234032852847 0.03 -9.384 -0.0 tensor(473.1688)
345 776.2099696093587 0.035 8.062 -0.0 tensor(469.9683)
346 795.6460681846099 0.024 -32.065 -0.0 tensor(478.0189)
347 799.8920277225702 0.033 -7.682 0.0 tensor(478.7498)
348 816.0936333861425 0.026 -2.917 -0.0 tensor(485.3069)
349 810.7875287913207 0.028 -12.597 -0.001 tensor(484.3189)
350 832.7326249084201 0.04 -5.166 -0.0 tensor(491.6925)
351 830.0583459426514 0.031 -10.39 -0.0 tensor(491.0407)
352 830.385882651343 0.025 -7.867 -0.0 tensor(488.7999)
353 837.1134153913142 0.028 -2.538 -0.0 tensor(491.9566)
354 813.3919091839477 0.028 -8.946 -0.0 tensor(486.6069)
355 807.3670687361143 0.023 -5.375 -0.0 tensor(481.7072)
356 820.3849149484888 0.03 -3.248 -0.0 tensor(487.3537)
357 806.5470797439781 0.039 -9.807 -0.0 tensor(480.6391)
358 831.3946940042999 0.026 -4.029 -0.0 tensor(491.3276)
359 843.4101361238143 0.027 -11.391 -0.0 tensor(495.1202)
360 847.7957477717362 0.034 -10.756 -0.0 tensor(498.6490)
361 849.1801061656896 0.038 -2.369 -0.001 tensor(498.6431)
362 867.9753714002422 0.036 -11.416 -0.0 tensor(505.2925)
