/home/yash/Desktop/Biorobotics_Lab/moving_mass_RL-master/scripts/ppo.py:343: UserWarning: To copy construct from a tensor, it is recommended to use sourceTensor.clone().detach() or sourceTensor.clone().detach().requires_grad_(True), rather than torch.tensor(sourceTensor).
  obs, act, adv, logp_old = torch.tensor(data['obs'],dtype=torch.float,device='cuda:0'),torch.tensor(data['act'],dtype=torch.float,device='cuda:0'), torch.tensor(data['adv'],dtype=torch.float,device='cuda:0'), torch.tensor(data['logp'],dtype=torch.float,device='cuda:0')
/home/yash/Desktop/Biorobotics_Lab/moving_mass_RL-master/scripts/ppo.py:363: UserWarning: To copy construct from a tensor, it is recommended to use sourceTensor.clone().detach() or sourceTensor.clone().detach().requires_grad_(True), rather than torch.tensor(sourceTensor).
  obs, ret = torch.tensor(data['obs'],dtype=torch.float,device='cuda:0'), torch.tensor(data['ret'],dtype=torch.float,device='cuda:0')
190 784.0543960539046 0.105 -24.253 0.0
191 150.13089207270642 0.299 -0.833 0.0
192 892.8880326047658 0.008 -36.324 0.0
193 187.91727135830004 0.156 1.717 0.0
194 168.18845615789445 0.25 -7.854 0.0
195 363.277472857558 0.169 -2.892 0.0
196 861.2124300622678 0.073 3.459 0.0
197 869.003954275143 0.21 -1.107 0.0
198 892.2048923144775 0.034 -1.512 0.0
199 869.839545320629 0.075 -5.411 0.0
200 111.32054242310218 0.027 -0.288 0.0
201 880.5268803493562 0.144 -0.253 0.0
202 618.5723400702741 0.087 -1.189 0.0
203 863.093141996436 0.064 -7.917 0.0
204 108.0737697417478 0.506 2.581 0.0
205 876.2858393667149 0.144 -14.279 0.0
206 876.7486692190137 0.15 -1.622 0.0
207 863.3868306488182 0.168 -1.5 0.0
208 867.2594424805668 0.478 -12.468 0.0
209 859.3892189673368 0.119 -0.474 0.0
210 881.0376468455825 0.187 -32.286 0.0
211 886.0174054093775 0.366 -2.12 0.0
212 53.0800722003628 0.134 -0.417 0.0
213 885.1478030258272 0.188 -1.405 0.0
214 245.9563134372876 0.161 -7.912 0.0
215 879.499730170357 0.383 2.822 0.0
216 868.4651245696173 0.05 -11.282 0.0
217 5.985632031683626 0.162 1.718 0.0
218 881.4871085047171 0.196 -18.357 0.0
219 844.2209578776957 0.055 9.062 0.0
220 11.12154052774044 0.23 -52.637 0.0
221 875.5994721130869 0.056 -2.133 0.0
222 2.9054337171903692 0.099 -0.181 0.0
223 864.7618159852691 0.038 -29.537 0.0
224 852.4457179862216 0.099 -0.174 0.0
225 176.04822032197512 0.342 -50.843 0.0
226 872.367122572072 0.247 -3.053 0.0
227 26.427772776064927 0.025 0.418 0.0
228 30.674145713899076 0.255 -10.817 0.0
229 868.8064305457348 0.107 -0.348 0.0
230 874.1285288562245 0.106 -36.507 0.0
231 122.46371039016773 0.395 -1.308 0.0
232 863.8408117980662 0.399 -51.1 0.0
233 152.80429786313485 0.067 -7.662 0.0
234 882.0596380471225 0.003 1.443 0.0
235 873.6488204580662 0.263 -14.16 0.0
236 876.6785303509903 0.048 0.033 0.0
237 871.9511428250973 0.049 -23.826 0.0
238 855.0640173523161 0.143 -0.414 0.0
239 50.73614614332098 0.258 -11.922 0.0
240 866.7531550683548 0.007 2.575 0.0
241 901.6092208610346 0.012 -11.485 0.0
242 884.429426029023 0.098 -2.135 0.0
243 862.4845398411078 0.114 -6.179 0.0
244 876.9716904710826 0.202 -1.275 0.0
245 863.6817630617605 0.437 -11.04 0.0
246 104.72116389289113 0.093 -2.551 0.0
247 164.0653423896789 0.063 1.852 0.0
248 862.9534462060174 0.062 -9.69 0.0
249 868.9445652746226 0.149 0.133 0.0
250 859.8915102372637 0.296 2.345 0.0
251 21.87118256597636 0.112 -8.237 0.0
252 547.883412010733 0.155 0.933 0.0
253 872.8979077516155 0.261 -37.637 0.0
254 884.079842861356 0.37 0.5 0.0
255 873.6109059609954 0.17 -44.635 0.0
256 153.87821878387047 0.055 -0.003 0.0
257 866.3806617435034 0.025 -45.831 0.0
258 883.6989517564098 0.103 6.052 0.0
259 852.9895730998165 0.081 -5.173 0.0
260 861.7337767989925 0.039 2.646 0.0
261 896.2439204500972 0.052 -27.693 0.0
262 28.16841482974973 0.057 -0.37 0.0
263 892.4393800927379 0.206 -42.515 0.0
264 896.7500498428681 0.002 3.771 0.0
265 880.6847128841963 0.287 -1.649 0.0
266 864.4261235005744 0.017 -4.967 0.0
267 867.8999186357596 0.127 -0.334 0.0
268 858.7570027772681 0.182 -15.204 0.0
269 127.54016689408397 0.087 1.248 0.0
270 5.169856058822349 0.182 -17.13 0.0
271 865.6859776846918 0.288 0.127 0.0
272 307.0063491839892 0.302 -24.626 0.0
273 870.0696050896229 0.095 -0.556 0.0
274 868.0396201945025 0.044 -44.653 0.0
275 873.0032249149901 0.384 4.088 0.0
276 860.9792514556921 0.155 -21.047 0.0
277 898.5364948323986 0.139 -0.909 0.0
278 857.138027123486 0.034 -19.967 0.0
279 11.034847304004321 0.205 -2.351 0.0
280 846.1031087502212 0.358 -8.405 0.0
281 866.381679526108 0.014 -0.155 0.0
282 863.993662526409 0.092 -13.048 0.0
283 103.74298438637246 0.041 -3.851 0.0
284 160.82697936621497 0.124 -0.639 0.0
285 875.0570155894828 0.061 -40.554 0.0
286 69.27889913157546 0.147 -0.28 0.0
287 868.2012015769842 0.258 -47.838 0.0
288 881.4165834153796 0.215 -16.927 0.0
289 883.253231603012 0.206 -3.057 0.0
290 874.2541634536237 0.039 -7.027 0.0
291 840.322431798004 0.102 0.121 0.0
292 155.17839733545134 0.152 -13.856 0.0
293 226.95309553354107 0.174 1.243 0.0
294 872.7429605864268 0.018 -27.561 0.0
295 325.2178029236976 0.298 6.243 0.0
296 888.7920440335915 0.228 -0.624 0.0
297 856.112594476698 0.109 -5.258 0.0
298 866.7675664823746 0.114 -0.405 0.0
299 864.480019514953 0.299 1.868 0.0
300 87.88660134434832 0.027 -17.591 0.0
301 854.2585693685435 0.209 -0.217 0.0
302 855.8504568208874 0.089 -1.907 0.0
303 853.854127001259 0.41 -7.288 0.0
304 859.2726134503736 0.139 -0.265 0.0
